NDCInnerID	UseUnitLabeler	UseUnitProduct	UseUnitPackage	UseUnitPropName	UseUnitGenericName	UseUnitLabelerName	UseUnitstartDate	UseUnitEndDate	UseUnitGTIN	CVX Code	CVX Short Description	NoInner	NDC11	last_updated_date	GTIN
326	0005	1970	49	Prevnar	PNEUMOCOCCAL 7-VALENT	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20000301			100	pneumococcal conjugate PCV 7	FALSE	00005-1970-49	27-Jan-14	
327	0005	1971	01	PREVNAR 13	PNEUMOCOCCAL 13-VALENT CONJUGATE VACCINE	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312			133	Pneumococcal conjugate PCV 13	FALSE	00005-1971-01	27-Jan-14	
328	0006	4045	01	GARDASIL	"HUMAN PAPILLOMAVIRUS QUADRIVALENT (TYPES 6, 11, 16, AND 18) VACCINE, RECOMBINANT"	Merck Sharp & Dohme Corp.	20060608			62	"HPV, quadrivalent"	FALSE	00006-4045-01	19-Nov-14	00300064045017
329	0006	4093	01	RECOMBIVAX HB	HEPATITIS B VACCINE (RECOMBINANT)	Merck Sharp & Dohme Corp.	19860723			08	"Hep B, adolescent or pediatric"	FALSE	00006-4093-01	19-Nov-14	00300064093018
330	0006	4094	01	RECOMBIVAX HB	HEPATITIS B VACCINE (RECOMBINANT)	Merck Sharp & Dohme Corp.	19860723			43	"Hep B, adult"	FALSE	00006-4094-01	19-Nov-14	00300064094015
331	0006	4095	01	VAQTA	"HEPATITIS A VACCINE, INACTIVATED"	Merck Sharp & Dohme Corp.	19960329			83	"Hep A, ped/adol, 2 dose"	FALSE	00006-4095-01	19-Nov-14	00300064095012
332	0006	4096	01	VAQTA	"HEPATITIS A VACCINE, INACTIVATED"	Merck Sharp & Dohme Corp.	19960329			52	"Hep A, adult"	FALSE	00006-4096-01	19-Nov-14	00300064096019
333	0006	4109	01	GARDASIL	"HUMAN PAPILLOMAVIRUS QUADRIVALENT (TYPES 6, 11, 16, AND 18) VACCINE, RECOMBINANT"	Merck Sharp & Dohme Corp.	20060608			62	"HPV, quadrivalent"	FALSE	00006-4109-01	19-Nov-14	00300064109016
334	0006	4133	01	Tetanus and Diphtheria Toxoids Adsorbed	TETANUS AND DIPHTHERIA TOXOIDS ADSORBED	Merck Sharp & Dohme Corp.	19700727			09	"Td (adult), adsorbed"	FALSE	00006-4133-01	27-Jan-14	
335	0006	4739	01	PNEUMOVAX 23	PNEUMOCOCCAL VACCINE POLYVALENT	Merck Sharp & Dohme Corp.	19830707			33	pneumococcal polysaccharide PPV23	FALSE	00006-4739-01	27-Jan-14	
336	0006	4826	01	VARIVAX	VARICELLA VIRUS VACCINE LIVE	Merck Sharp & Dohme Corp.	19950317			21	varicella	FALSE	00006-4826-01	19-Nov-14	00300064826012
337	0006	4827	01	VARIVAX	VARICELLA VIRUS VACCINE LIVE	Merck Sharp & Dohme Corp.	19950317			21	varicella	FALSE	00006-4827-01	19-Nov-14	00300064827019
338	0006	4831	01	VAQTA	"HEPATITIS A VACCINE, INACTIVATED"	Merck Sharp & Dohme Corp.	19960329			83	"Hep A, ped/adol, 2 dose"	FALSE	00006-4831-01	19-Nov-14	00300064831016
339	0006	4841	01	VAQTA	"HEPATITIS A VACCINE, INACTIVATED"	Merck Sharp & Dohme Corp.	19960329			52	"Hep A, adult"	FALSE	00006-4841-01	19-Nov-14	00300064841015
340	0006	4943	01	PNEUMOVAX 23	PNEUMOCOCCAL VACCINE POLYVALENT	Merck Sharp & Dohme Corp.	19830707			33	pneumococcal polysaccharide PPV23	FALSE	00006-4943-01	19-Nov-14	00300064943016
