SBTVaccineName	UseUnitLabelerName	UseUnitstartDate	UseUnitEndDate	CVX	NDC11
Fluzone Quadrivalent PF	SANOFI PASTEUR			150	49281-0415-58
Afluria	CSL Limited			141	33332-0115-11
Afluria	CSL Limited			140	33332-0015-02
FluMist Quadrivalent	MedImmune, LLC			149	66019-0302-01
Flublok	Protein Sciences Corporation			155	42874-0015-01
Fluvirin	Novartis			140	66521-0118-12
Fluvirin	Novartis Vaccines and Diagnostics Ltd			141	66521-0118-11
Fluarix	GlaxoSmithKline Biologicals SA	20180701		140	58160-0883-41
Fluad	Novartis			168	66521-0000-11
Vivotif	PaxVax Berna GmbH	19920316		25	69401-0000-01
ActHiB	Sanofi Pasteur Inc.	19930330		48	49281-0547-58
Flucelvax, quadrivalent, preservative free	Seqirus			171	70461-0200-11
Ixiaro	Valneva Scotland Ltd.	20090330		134	42515-0001-01
Afluria	Seqirus			140	33332-0016-02
Afluria	Seqirus			141	33332-0116-11
Flucelvax	Seqirus			153	70461-0614-11
Fluad	Seqirus			168	70461-0001-11
Fluvirin	Seqirus			140	70461-0119-02
Fluvirin	Seqirus			141	70461-0119-10
Fluarix	GlaxoSmithKline			140	58160-0883-41
Flublok	Protein Sciences			155	42874-0016-01
Flulaval	ID Biomedical			140	19515-0850-41
Flulaval	ID Biomedical			141	19515-0845-01
Fluzone, High Dose	Sanofi			135	49281-0399-88
Flumist Quadrivalent	MedImmune			149	66019-0303-10
Fluarix Quadrivalent	GlakoSmithKline			150	58160-0905-41
Fluzone Quadrivalent, pediatric	Sanofi			161	49281-0516-00
Fluzone Quadrivalent	Sanofi			150	49281-0416-88
Fluzone Quadrivalent	Sanofi			150	49281-0416-58
Fluzone Quadrivalent	Sanofi			158	49281-0625-78
Fluzone Intradermal quadrivalent	Sanofi			166	49281-0710-48
Flulaval quadrivalent	ID Biomedical			150	19515-0908-41
Flulaval quadrivalent	ID Biomedical			158	19515-0903-01
Afluria quadrivalent	Seqirus			150	33332-0316-02
