Agemos	L	M	S	P3	P5	P10	P25	P50	P75	P90	P95	P97
0	1.267004226	49.98888408	0.053112191	44.9250978	45.5684091	46.55429302	48.18937381	49.98888408	51.77125749	53.36153475	54.30721197	54.91900445
0.5	0.511237696	52.6959753	0.048692684	47.97812373	48.55809206	49.45780383	50.97918889	52.6959753	54.44054313	56.03444099	56.99907737	57.62984323
1.5	-0.45224446	56.62842855	0.04411683	52.19859469	52.72610659	53.55364657	54.97910441	56.62842855	58.35059408	59.96640329	60.96465379	61.62591488
2.5	-0.990594599	59.60895343	0.041795583	55.2632178	55.7734505	56.57772145	57.97439882	59.60895343	61.33788093	62.981581	64.00788549	64.69240909
3.5	-1.285837689	62.07700027	0.040454126	57.73049293	58.23744339	59.03830227	60.43433439	62.07700027	63.82542604	65.49858004	66.5488903	67.25189597
4.5	-1.43031238	64.2168641	0.039633879	59.82568616	60.33646905	61.14409605	62.55408849	64.2168641	65.99130663	67.69404787	68.76537757	69.48353966
5.5	-1.47657547	66.1253149	0.039123813	61.66383709	62.18260807	63.00295962	64.43546338	66.1253149	67.92934759	69.6612233	70.75128299	71.48218225
6.5	-1.456837849	67.8601799	0.038811994	63.31224239	63.84166131	64.6785365	66.13895735	67.8601799	69.6957947	71.45609163	72.56306798	73.30488349
7.5	-1.391898768	69.45908458	0.038633209	64.8139542	65.35583849	66.21181225	67.70375	69.45908458	71.32735362	73.11524683	74.23766746	74.98899282
8.5	-1.29571459	70.94803912	0.038546833	66.1983257	66.75397985	67.63087749	69.15681718	70.94803912	72.84947001	74.66409757	75.80074408	76.56047112
9.5	-1.177919048	72.34586111	0.038526262	67.48634824	68.05674555	68.95590629	70.51760636	72.34586111	74.2806019	76.1211038	77.2709525	78.03819367
10.5	-1.045326049	73.6666541	0.038553387	68.69360304	69.27949219	70.20192461	71.80064815	73.6666541	75.63461845	77.50015825	78.66233936	79.43637498
11.5	-0.902800887	74.92129717	0.038615501	69.83200143	70.43397431	71.38045547	73.01711846	74.92129717	76.92224328	78.81201697	79.98578218	80.76602067
12.5	-0.753908107	76.11837536	0.038703461	70.91087824	71.52941204	72.50054958	74.17581483	76.11837536	78.15195849	80.06520155	81.24990316	82.03585474
13.5	-0.601263523	77.26479911	0.038810557	71.93769721	72.57318381	73.56945922	75.28380189	77.26479911	79.33060669	81.26659566	82.46166865	83.25292428
14.5	-0.446805039	78.36622309	0.038931784	72.91853025	73.57129631	74.59309471	76.34684777	78.36622309	80.46379892	82.42185154	83.62680003	84.4230157
15.5	-0.291974772	79.4273405	0.039063356	73.8583906	74.5287119	75.57634333	77.36973004	79.4273405	81.55620169	83.53567593	84.75006241	85.55094704
16.5	-0.13784767	80.45209492	0.039202382	74.76147075	75.44958259	76.52329754	78.35645533	80.45209492	82.61174387	84.61203638	85.83547302	86.64077902
17.5	0.014776155	81.44383603	0.039346629	75.63131645	76.3374214	77.43742235	79.31042062	81.44383603	83.633769	85.65431315	86.88645473	87.69597052
18.5	0.165304169	82.40543643	0.039494365	76.47095628	77.19523002	78.32168023	80.23453383	82.40543643	84.62514968	86.66541349	87.90595157	88.71949558
19.5	0.313301809	83.33938063	0.039644238	77.28300001	78.02559584	79.1786261	81.13130578	83.33938063	85.58837479	87.64785881	88.89651687	89.71393273
20.5	0.458455471	84.24783394	0.039795189	78.06971429	78.83076661	80.01048051	82.00292107	84.24783394	86.5256172	88.60385242	89.86038176	90.68153436
21.5	0.600544631	85.13269658	0.039946388	78.83308172	79.61270882	80.81918694	82.85129371	85.13269658	87.43878685	89.53533266	90.79950901	91.62428129
22.5	0.739438953	85.9956488	0.040097181	79.57484556	80.37315285	81.6064575	83.67811296	85.9956488	88.32957471	90.44401549	91.71563468	92.54392389
23.5	0.875000447	86.8381751	0.04024706	80.29655659	81.11363482	82.37380806	84.48487091	86.8381751	89.19947894	91.33142741	92.6103075	93.44202663
24.5	1.00720807	87.66160934	0.040395626	80.9995873	81.83551818	83.12258949	85.27290404	87.66160934	90.04984549	92.19893497	93.48490873	94.31998042
25.5	0.837251351	88.45247282	0.040577525	81.74463953	82.58135344	83.87244978	86.03702902	88.45247282	90.87870056	93.07143353	94.38774522	95.24419299
26.5	0.681492975	89.22326434	0.040723122	82.47365273	83.31105283	84.60576246	86.78329346	89.22326434	91.68467603	93.91817465	95.26300076	96.13961611
27.5	0.538779654	89.97549228	0.040833194	83.18812206	84.02609006	85.32398912	87.513174	89.97549228	92.46928892	94.74063663	96.1121012	97.0076279
28.5	0.407697153	90.71040853	0.040909059	83.88930684	84.72769162	86.02832996	88.22787587	90.71040853	93.23384749	95.54016226	96.93639476	97.84957201
29.5	0.286762453	91.42907762	0.040952433	84.57826389	85.41688027	86.71977994	88.92840117	91.42907762	93.97950843	96.31799565	97.73717289	98.66676679
30.5	0.174489485	92.13242379	0.04096533	85.25588692	86.09451745	87.39917477	89.61559787	92.13242379	94.70731654	97.0753111	98.51569104	99.46052027
31.5	0.069444521	92.82127167	0.040949976	85.9229396	86.76133892	88.06722988	90.29020177	92.82127167	95.41823885	97.8132366	99.27318378	100.2321391
32.5	-0.029720564	93.49637946	0.040908737	86.58008511	87.41798587	88.72457345	90.95287107	93.49637946	96.11319217	98.53287254	100.0108765	100.9829352
33.5	-0.124251789	94.15846546	0.040844062	87.22791274	88.06503203	89.37177427	91.60421467	94.15846546	96.79306504	99.23530653	100.7299947	101.7142301
34.5	-0.215288396	94.80822923	0.040758431	87.86696172	88.70300745	90.00936536	92.24481515	94.80822923	97.4587349	99.92162482	101.4317705	102.4273592
35.5	-0.30385434	95.44636981	0.040654312	88.49774096	89.33241837	90.63786404	92.87524861	95.44636981	98.11108261	100.5929212	102.1174472	103.1236716
